Year,Price,Mileage,Exterior Color,Interior Color,Location
2019,278900,3530,Bianco Avus,Cuoio,Ferrari of Fort Lauderdale
2016,274000,2900,Grigio Silverstone,Bordeaux,Ferrari of Atlanta
2018,272488,3326,Nero,Rosso Ferrari,Foreign Cars Italia
2018,271573,3548,Rosso Corsa,Nero,Ferrari of Central New Jersey
2017,269990,9103,Rosso Corsa Metallizzato,Nero,Ferrari of Houston
2019,269900,6861,Grigio Titanio Metall,Nero,Ferrari Lake Forest
2019,269500,4643,Bianco Avus,Nero,Ferrari of San Francisco
2017,267895,7621,Nero,Nero,Ferrari Central Florida
2018,265000,16679,Rosso Corsa,Nero,Ferrari of San Francisco
2017,259999,10451,Blu Abu Dhabi,Nero,Continental Autosports
2016,259990,6452,Rosso Corsa,Cuoio,Ferrari of Houston
2017,259990,4846,Rosso Mugello,Beige Tradizione,Ferrari of Denver
2018,259900,4908,Rosso Corsa,Beige Tradizione,Ferrari Lake Forest
2017,259900,14443,Bianco Avus,Rosso Ferrari,Boardwalk Ferrari
2019,259000,15565,Giallo Modena,Nero,Ferrari of San Francisco
2016,249995,6573,Rosso Corsa Metallizzato,Nero,Prancing Horse of Nashville
2017,247995,11730,Grigio Silverstone,Nero,Ron Tonkin Gran Turismo
2018,247500,14674,Bianco Avus,Rosso Ferrari,Ferrari of Central New Jersey
2016,240000,8288,Grigio Ferro,Charcoal,Ferrari of Austin
2016,239900,22453,Rosso Mugello,Nero,Cauley Ferrari of Detroit
2016,238995,7428,Nero Daytona,Rosso Ferrari,Ferrari of Palm Beach
2016,229995,10506,Bianco Avus,Nero,Ferrari Philadelphia
2017,229895,19000,Bianco Avus,Rosso Ferrari,Ferrari Central Florida
2018,228000,10644,Argento Nurburgring,Nero,Ferrari Silicon Valley
2018,199995,63186,Grigio Silverstone,Charcoal,Ron Tonkin Gran Turismo
